Pass	Time
0	3.353812
1	3.600325
2	3.337182
3	3.199101
4	3.651183
5	3.814124
6	3.403266
7	3.361030
8	3.336353
9	3.632414
10	3.547063
11	4.025751
12	3.818183
13	3.842757
14	3.907491
15	3.158211
16	3.316220
17	3.498046
18	3.332333
19	2.956923
20	3.331483
21	2.714859
22	3.489490
23	3.374551
24	3.374440
25	3.467437
26	3.259876
27	3.383038
28	3.492605
29	2.882580
30	3.601165
31	3.385570
32	3.295520
33	3.180517
34	2.753453
35	3.377231
36	3.179053
37	3.383998
38	3.460608
39	3.202080
Average:	3.392033
