Pass	Time
0	6.694626
1	6.670459
2	7.020771
3	6.453348
4	7.053983
5	6.889204
6	6.912015
7	6.940406
8	7.048895
9	7.089165
10	7.666578
11	7.596789
12	7.531737
13	7.570691
14	7.383228
15	9.000823
16	7.334954
17	8.099590
18	7.144618
19	6.927938
20	6.953135
21	7.697122
22	8.125140
23	6.926437
24	8.002794
25	8.433710
26	7.057189
27	6.724831
28	7.137736
29	8.120990
30	7.302344
31	7.957313
32	8.246108
33	7.201384
34	6.942377
35	7.174413
36	8.956353
37	7.899749
38	9.544802
39	9.421156
Average:	7.521372
