Pass	Time
0	6.501691
1	7.619112
2	7.061277
3	7.195325
4	7.378062
5	7.198833
6	7.964650
7	7.494078
8	7.279935
9	7.312858
10	7.523094
11	7.249714
12	7.126733
13	7.385224
14	7.593501
15	7.449029
16	7.851420
17	7.443480
18	7.685993
19	7.806681
20	8.219288
21	8.275833
22	8.522382
23	7.665222
24	7.033387
25	7.793600
26	7.159654
27	7.613815
28	8.023611
29	7.422989
30	8.508560
31	8.170228
32	7.909737
33	7.732077
34	7.604833
35	8.495446
36	8.008121
37	7.548068
38	7.934899
39	7.568240
Average:	7.633267
