Pass	Time
0	0.092212
1	0.123156
2	0.122837
3	0.121650
4	0.118214
5	0.121755
6	0.121004
7	0.120277
8	0.121265
9	0.119088
10	0.117754
11	0.119053
12	0.119070
13	0.118441
14	0.117095
15	0.117393
16	0.118292
17	0.120854
18	0.118053
19	0.117870
20	0.117629
21	0.119999
22	0.121399
23	0.120523
24	0.113180
25	0.118496
26	0.122405
27	0.130072
28	0.116125
29	0.118378
30	0.122920
31	0.120940
32	0.116970
33	0.119278
34	0.118278
35	0.121775
36	0.118875
37	0.118794
38	0.118793
39	0.110803
Average:	0.118774
